InvoiceID,SupplierID,InvoiceNumber,Amount,Date,Channel,Status,Dept
0,5009,INV-0483nr,809.25,2025-12-13,Paper,paid,Logistics
1,5013,INV-3204qE,1192.56,2026-03-08,Portal,Flagged,Logistics
2,5041,INV-2094SQ,4933.53,2025-08-23,Email,Flagged,Operations
3,5045,INV-7328Jb,4464.9,2025-09-22,Email,Flagged,Marketing
4,5011,INV-1936ZJ,3533.91,2025-07-14,EDI,Flagged,Operations
5,5050,INV-6901PX,229.92,2025-10-13,Portal,paid,Operations
6,5041,INV-2268qw,4357.88,2025-05-18,EDI,Pending,Logistics
3,5045,INV-7328Jb,4464.9,2025-09-22,Email,Flagged,Marketing
4,5011,INV-1936ZJ,3533.91,2025-07-14,EDI,Flagged,Operations
5,5050,INV-6901PX,229.92,2025-10-13,Portal,paid,Operations
6,5041,INV-2268qw,4357.88,2025-05-18,EDI,Pending,Logistics
2,5041,INV-2094SQ,4933.53,2025-08-23,Email,Flagged,Operations
3,5045,INV-7328Jb,4464.9,2025-09-22,Email,Flagged,Marketing
4,5011,INV-1936ZJ,3533.91,2025-07-14,EDI,Flagged,Operations
5,5050,INV-6901PX,229.92,2025-10-13,Portal,paid,Operations
6,5041,INV-2268qw,4357.88,2025-05-18,EDI,Pending,Logistics
7,5050,INV-2168eL,3030.08,2025-09-09,Email,paid,IT
8,5046,INV-3956vn,3055.59,2026-03-11,Paper,paid,Operations
9,5042,INV-9935rs,3542.61,2025-12-05,Portal,paid,Logistics
10,5041,INV-7379Ct,2909.42,2026-03-16,EDI,Pending,Logistics
11,5024,INV-2237dz,2695.9,2025-09-16,Email,Pending,Logistics
12,5032,INV-6470qP,1822.65,2025-09-08,Paper,Flagged,Marketing
13,5021,INV-1073lF,2448.31,2025-10-15,Email,Pending,Operations
14,5047,INV-1335cA,3711.35,2025-10-19,EDI,Pending,Operations
15,5036,INV-5832XN,2283.29,2025-05-16,Portal,Pending,Marketing
16,5050,INV-4252Xw,4109.18,2025-09-10,Portal,Flagged,Logistics
17,5018,INV-6234Dq,4146.98,2025-06-11,Portal,Pending,IT
